game_id,side,team_name,formation,player_name,player_id,position,shirt_number,substitute,rating,minutes_played,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_fouls,stat_aerialWon,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_shotOffTarget,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_wonContest,stat_totalOffside,stat_goodHighClaim,stat_ownGoals,stat_bigChanceMissed,stat_bigChanceCreated,stat_punches,stat_goalAssist,stat_goals,stat_errorLeadToAGoal,stat_hitWoodwork,stat_penaltyWon,stat_penaltyConceded,stat_clearanceOffLine,stat_crossNotClaimed,stat_lastManTackle,stat_penaltyMiss,stat_penaltySave,stat_possessionLostCtrl,stat_wonTackle,stat_penaltyFaced
6767929,home,Manchester United,4-2-3-1,Sergio Romero,25566,G,20,False,7.4,90.0,36.0,19.0,24.0,8.0,17.0,22.0,2.0,14.0,2.0,11.0,3.0,4.0,2.0,2.0,90.0,48.0,7.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Matteo Darmian,19352,D,36,False,7.2,81.0,36.0,31.0,5.0,2.0,13.0,13.0,19.0,25.0,5.0,5.0,,,,,81.0,58.0,7.2,0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Chris Smalling,47741,D,12,False,7.8,90.0,55.0,46.0,11.0,3.0,34.0,35.0,12.0,20.0,7.0,10.0,,,,,90.0,72.0,7.8,0,,,,5.0,,5.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Daley Blind,44864,D,17,False,6.9,90.0,56.0,48.0,8.0,4.0,31.0,34.0,17.0,22.0,3.0,5.0,,,,,90.0,69.0,6.9,0,,,6.0,3.0,1.0,3.0,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Luke Shaw,190839,D,23,False,6.6,90.0,47.0,39.0,4.0,2.0,15.0,17.0,24.0,30.0,5.0,8.0,,,,,90.0,74.0,6.6,0,,,10.0,8.0,3.0,2.0,1.0,,,,4.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Michael Carrick,938,M,16,False,7.1,60.0,31.0,30.0,3.0,3.0,18.0,18.0,12.0,13.0,,3.0,,,,,60.0,40.0,7.1,0,,,1.0,3.0,1.0,1.0,2.0,1.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Morgan Schneiderlin,27009,M,28,False,6.8,90.0,51.0,44.0,6.0,4.0,27.0,29.0,17.0,22.0,,6.0,,,,,90.0,62.0,6.8,0,,,7.0,6.0,1.0,4.0,2.0,,,3.0,,1.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Juan Mata,28367,M,8,False,7.0,90.0,43.0,36.0,3.0,3.0,14.0,18.0,22.0,25.0,2.0,8.0,,,,,90.0,59.0,7.0,3,,,5.0,3.0,2.0,,3.0,,,4.0,1.0,1.0,,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Memphis Depay,138833,M,7,False,6.3,68.0,29.0,25.0,2.0,1.0,4.0,4.0,21.0,26.0,,4.0,,,,,68.0,40.0,6.3,3,1.0,,7.0,2.0,6.0,,1.0,,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Ashley Young,10589,M,18,False,6.5,90.0,31.0,23.0,6.0,3.0,6.0,7.0,17.0,30.0,2.0,8.0,,,,,90.0,57.0,6.5,1,6.0,,6.0,3.0,,1.0,2.0,1.0,,3.0,,,5.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Wayne Rooney,751,F,10,False,7.0,90.0,35.0,29.0,2.0,1.0,9.0,12.0,20.0,24.0,1.0,4.0,,,,,90.0,46.0,7.0,2,1.0,,4.0,3.0,3.0,1.0,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Bastian Schweinsteiger,326,M,31,True,6.5,30.0,23.0,20.0,3.0,2.0,7.0,8.0,13.0,15.0,2.0,,,,,,30.0,27.0,6.5,0,,,5.0,1.0,,1.0,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Ander Herrera,82474,M,21,True,6.5,22.0,9.0,8.0,1.0,1.0,3.0,4.0,5.0,5.0,,1.0,,,,,22.0,14.0,6.5,0,,,3.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Antonio Valencia,11820,M,25,True,6.6,9.0,5.0,3.0,,,1.0,3.0,2.0,2.0,1.0,1.0,,,,,9.0,9.0,6.6,0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Sam Johnstone,98427,G,50,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Paddy McNair,592876,D,33,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Andreas Pereira,285949,M,44,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,home,Manchester United,4-2-3-1,Javier Hernández,34312,F,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,away,Tottenham Hotspur,4-2-3-1,Michel Vorm,16944,G,13,False,6.6,90.0,45.0,42.0,11.0,8.0,42.0,44.0,,1.0,,8.0,1.0,1.0,,,90.0,51.0,6.6,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
6767929,away,Tottenham Hotspur,4-2-3-1,Kyle Walker,44614,D,2,False,7.7,90.0,39.0,26.0,11.0,2.0,13.0,21.0,13.0,18.0,4.0,7.0,,,,,90.0,80.0,7.7,1,,,1.0,11.0,,8.0,2.0,,1.0,5.0,,,1.0,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
6767929,away,Tottenham Hotspur,4-2-3-1,Toby Alderweireld,44575,D,4,False,7.7,90.0,70.0,58.0,19.0,8.0,47.0,48.0,11.0,23.0,7.0,3.0,,,,,90.0,90.0,7.7,2,1.0,,4.0,4.0,,1.0,,1.0,,6.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
6767929,away,Tottenham Hotspur,4-2-3-1,Jan Vertonghen,16921,D,5,False,6.8,90.0,60.0,56.0,5.0,4.0,42.0,42.0,14.0,18.0,2.0,5.0,,,,,90.0,68.0,6.8,0,,,2.0,2.0,,1.0,,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6767929,away,Tottenham Hotspur,4-2-3-1,Ben Davies,94758,D,33,False,6.8,90.0,27.0,20.0,4.0,2.0,11.0,13.0,9.0,17.0,6.0,3.0,,,,,90.0,49.0,6.8,0,3.0,,1.0,3.0,,,,,,3.0,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
