game_id,side,team_name,formation,player_name,player_id,position,shirt_number,substitute,rating,minutes_played,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_dispossessed,stat_totalContest,stat_wonContest,stat_aerialLost,stat_unsuccessfulTouch,stat_penaltyConceded,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_totalOffside,stat_errorLeadToAShot,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_penaltyWon,stat_bigChanceCreated,stat_goodHighClaim,stat_clearanceOffLine,stat_punches,stat_hitWoodwork,stat_lastManTackle,stat_ownGoals,stat_errorLeadToAGoal,stat_penaltyMiss,stat_penaltySave
7089875,home,Hull City,4-3-3,Eldin Jakupović,4387,G,16,False,7.0,90.0,31.0,12.0,28.0,9.0,3.0,5.0,9.0,26.0,6.0,2.0,1.0,4.0,90.0,35.0,7.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Ahmed Elmohamady,32787,D,27,False,6.8,90.0,60.0,36.0,20.0,5.0,27.0,40.0,9.0,24.0,13.0,,,,90.0,85.0,6.8,31.0,0.0,4.0,4.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Jake Livermore,34578,D,14,False,6.9,90.0,60.0,47.0,17.0,5.0,42.0,44.0,5.0,16.0,3.0,,,,90.0,70.0,6.9,13.0,0.0,,1.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Curtis Davies,10281,D,6,False,7.6,90.0,48.0,36.0,13.0,4.0,34.0,38.0,2.0,10.0,4.0,,,,90.0,74.0,7.6,12.0,2.0,,4.0,2.0,6.0,1.0,13.0,7.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Andrew Robertson,262911,D,3,False,7.2,90.0,48.0,43.0,6.0,3.0,33.0,36.0,10.0,15.0,7.0,,,,90.0,73.0,7.2,13.0,0.0,3.0,,2.0,6.0,,1.0,3.0,4.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,David Meyler,43442,M,7,False,6.8,90.0,44.0,36.0,1.0,,19.0,21.0,17.0,23.0,5.0,,,,90.0,51.0,6.8,9.0,1.0,,3.0,1.0,6.0,,,,1.0,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Tom Huddlestone,9689,M,8,False,6.5,90.0,32.0,26.0,8.0,4.0,13.0,14.0,13.0,18.0,3.0,,,,90.0,44.0,6.5,8.0,1.0,,1.0,5.0,6.0,1.0,1.0,,4.0,3.0,2.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Sam Clucas,74440,M,11,False,7.1,90.0,51.0,47.0,6.0,5.0,37.0,40.0,10.0,11.0,11.0,,,,90.0,71.0,7.1,5.0,0.0,,1.0,6.0,8.0,4.0,4.0,3.0,3.0,3.0,1.0,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Robert Snodgrass,9127,F,10,False,8.1,90.0,32.0,28.0,,,20.0,21.0,10.0,18.0,7.0,,,,90.0,63.0,8.1,16.0,5.0,7.0,,9.0,10.0,,1.0,,3.0,3.0,,2.0,,2.0,2.0,5.0,3.0,3.0,2.0,5.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Abel Hernández,48547,F,9,False,6.8,90.0,14.0,10.0,,,5.0,5.0,5.0,9.0,1.0,,,,90.0,22.0,6.8,6.0,3.0,,1.0,10.0,2.0,2.0,1.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,5.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Adama Diomandé,43247,F,20,False,7.6,90.0,29.0,22.0,1.0,1.0,9.0,11.0,13.0,18.0,6.0,,,,90.0,57.0,7.6,16.0,2.0,,4.0,12.0,14.0,,2.0,,1.0,,1.0,1.0,,,1.0,3.0,6.0,6.0,6.0,5.0,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Dušan Kuciak,29301,G,12,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Josh Tymon,830238,D,28,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Josh Clackstone,846026,M,37,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Shaun Maloney,9003,M,15,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Greg Olley,846028,M,36,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Jarrod Bowen,552884,F,29,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,home,Hull City,4-3-3,Greg Luer,788980,F,32,True,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Kasper Schmeichel,1076,G,1,False,6.5,90.0,28.0,16.0,22.0,10.0,10.0,11.0,6.0,17.0,8.0,2.0,,3.0,90.0,36.0,6.5,13.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Danny Simpson,30502,D,17,False,6.3,83.0,35.0,29.0,5.0,1.0,18.0,18.0,11.0,19.0,3.0,,,,83.0,47.0,6.3,9.0,0.0,2.0,3.0,5.0,4.0,,2.0,1.0,,,3.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Luis Hernández,260097,D,2,False,6.3,90.0,47.0,38.0,4.0,1.0,25.0,29.0,13.0,19.0,6.0,,,,90.0,63.0,6.3,16.0,0.0,1.0,2.0,5.0,3.0,,4.0,4.0,,,1.0,,,,,1.0,1.0,,,3.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Wes Morgan,20375,D,5,False,6.0,90.0,43.0,26.0,4.0,,21.0,30.0,5.0,13.0,5.0,,,,90.0,47.0,6.0,18.0,0.0,,2.0,3.0,2.0,,2.0,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Christian Fuchs,1262,D,28,False,7.2,90.0,62.0,51.0,12.0,7.0,24.0,28.0,27.0,34.0,14.0,,,,90.0,81.0,7.2,14.0,1.0,,7.0,3.0,10.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Riyad Mahrez,158213,M,26,False,6.9,90.0,49.0,36.0,4.0,2.0,13.0,13.0,23.0,38.0,9.0,,,,90.0,74.0,6.9,25.0,5.0,2.0,,10.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,1.0,7.0,2.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
7089875,away,Leicester City,4-4-2,Andy King,30530,M,10,False,6.6,68.0,35.0,28.0,2.0,,15.0,16.0,13.0,20.0,6.0,,,,68.0,45.0,6.6,10.0,0.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
