country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,injury_time_1,injury_time_2,start_timestamp,status,home_score_current,home_score_display,home_score_period1,home_score_period2,home_score_normaltime,away_score_current,away_score_display,away_score_period1,away_score_period2,away_score_normaltime,match_id,away_team_stat_Accurate passes,away_team_stat_Aerial duels,away_team_stat_Ball possession,away_team_stat_Big chances,away_team_stat_Big chances missed,away_team_stat_Big chances scored,away_team_stat_Blocked shots,away_team_stat_Clearances,away_team_stat_Corner kicks,away_team_stat_Crosses,away_team_stat_Dispossessed,away_team_stat_Dribbles,away_team_stat_Duels,away_team_stat_Final third entries,away_team_stat_Fouled in final third,away_team_stat_Fouls,away_team_stat_Free kicks,away_team_stat_Goal kicks,away_team_stat_Goalkeeper saves,away_team_stat_Ground duels,away_team_stat_Hit woodwork,away_team_stat_Interceptions,away_team_stat_Long balls,away_team_stat_Offsides,away_team_stat_Passes,away_team_stat_Recoveries,away_team_stat_Red cards,away_team_stat_Shots inside box,away_team_stat_Shots off target,away_team_stat_Shots on target,away_team_stat_Shots outside box,away_team_stat_Tackles,away_team_stat_Tackles won,away_team_stat_Through balls,away_team_stat_Throw-ins,away_team_stat_Total saves,away_team_stat_Total shots,away_team_stat_Total tackles,away_team_stat_Yellow cards,home_team_stat_Accurate passes,home_team_stat_Aerial duels,home_team_stat_Ball possession,home_team_stat_Big chances,home_team_stat_Big chances missed,home_team_stat_Big chances scored,home_team_stat_Blocked shots,home_team_stat_Clearances,home_team_stat_Corner kicks,home_team_stat_Crosses,home_team_stat_Dispossessed,home_team_stat_Dribbles,home_team_stat_Duels,home_team_stat_Final third entries,home_team_stat_Fouled in final third,home_team_stat_Fouls,home_team_stat_Free kicks,home_team_stat_Goal kicks,home_team_stat_Goalkeeper saves,home_team_stat_Ground duels,home_team_stat_Hit woodwork,home_team_stat_Interceptions,home_team_stat_Long balls,home_team_stat_Offsides,home_team_stat_Passes,home_team_stat_Recoveries,home_team_stat_Red cards,home_team_stat_Shots inside box,home_team_stat_Shots off target,home_team_stat_Shots on target,home_team_stat_Shots outside box,home_team_stat_Tackles,home_team_stat_Tackles won,home_team_stat_Through balls,home_team_stat_Throw-ins,home_team_stat_Total saves,home_team_stat_Total shots,home_team_stat_Total tackles,home_team_stat_Yellow cards
England,Premier League,15/16,1,6767929,Manchester United,35,Tottenham Hotspur,33,1,4,1439034300,Ended,1,1,1,0,1,0,0,0,0,0,6767929,391,11/19 (58%),50%,,,,3,,2,,,,56%,,,0,12,7,1,44/79 (56%),0,,,2,487,,,8,2,4,1,,,,24,1,9,,3,401,8/19 (42%),50%,,,,4,,1,,,,44%,,,0,12,4,4,35/79 (44%),0,,,1,487,,,6,4,1,4,,,,25,4,9,,2
England,Premier League,15/16,1,6767928,Bournemouth,60,Aston Villa,40,1,5,1439042400,Ended,0,0,0,0,0,1,1,0,1,1,6767928,310,17/34 (50%),42%,,,,2,,3,,,,59%,,,0,13,13,2,47/75 (63%),0,,,,391,,,4,2,3,3,,,0,19,2,7,,4,464,17/34 (50%),58%,,,,2,,6,,,,41%,,,0,13,3,2,28/75 (37%),0,,,,548,,,8,7,2,3,,,1,30,2,11,,3
England,Premier League,15/16,1,6767936,Everton,48,Watford,24,2,0,1439042400,Ended,2,2,0,2,2,2,2,1,1,2,6767936,200,29/49 (59%),34%,,,,3,,2,,,,58%,,,0,7,9,3,43/76 (57%),0,,,1,286,,,5,3,5,6,,,,14,3,11,,2,451,20/49 (41%),66%,,,,2,,8,,,,42%,,,0,13,8,3,33/76 (43%),0,,,4,558,,,6,3,5,4,,,,30,3,10,,1
England,Premier League,15/16,1,6767932,Leicester City,31,Sunderland,41,3,5,1439042400,Ended,4,4,3,1,4,2,2,0,2,2,6767932,347,25/41 (61%),56%,,,,2,,3,,,,51%,,,0,12,10,4,35/76 (46%),0,,,1,442,,,7,4,5,4,,,2,25,4,11,,4,250,16/41 (39%),44%,,,,4,,6,,,,49%,,,0,16,6,3,41/76 (54%),1,,,0,342,,,16,8,8,4,,,1,21,3,20,,2
England,Premier League,15/16,1,6767933,Norwich City,263,Crystal Palace,7,2,4,1439042400,Ended,1,1,0,1,1,3,3,1,2,3,6767933,200,8/18 (44%),38%,,,,2,,4,,,,48%,,,0,14,11,4,38/78 (49%),0,,,2,272,,,8,2,7,3,,,2,19,4,11,,0,388,10/18 (56%),62%,,,,2,,1,,,,52%,,,0,18,4,4,40/78 (51%),0,,,4,470,,,6,9,6,11,,,0,23,4,17,,1
England,Premier League,15/16,1,6767930,Chelsea,38,Swansea City,74,3,4,1439051400,Ended,2,2,2,0,2,2,2,1,1,2,6767930,322,21/35 (60%),48%,,,,5,,8,,,,54%,,,0,15,7,2,49/94 (52%),1,,,4,399,,0,12,2,10,5,,,2,22,2,17,,3,347,14/35 (40%),52%,,,,3,,4,,,,46%,,,0,15,2,7,45/94 (48%),0,,,2,433,,1,7,5,3,5,,,0,24,7,11,,1
England,Premier League,15/16,1,6767931,Arsenal,42,West Ham United,37,2,5,1439123400,Ended,0,0,0,0,0,2,2,1,1,2,6767931,256,19/51 (37%),39%,,,,2,,4,,,,46%,,,0,12,11,6,45/88 (51%),0,,,1,359,,,4,2,4,4,,,1,21,6,8,,3,481,32/51 (63%),61%,,,,9,,5,,,,54%,,,0,9,7,2,43/88 (49%),0,,,3,556,,,16,7,6,6,,,0,18,2,22,,1
England,Premier League,15/16,1,6767935,Newcastle United,39,Southampton,45,2,5,1439123400,Ended,2,2,1,1,2,2,2,1,1,2,6767935,309,21/35 (60%),44%,,,,3,,6,,,,52%,,,0,9,6,2,33/68 (49%),0,,,3,389,,,10,7,4,4,,,1,19,2,14,,4,396,14/35 (40%),56%,,,,2,,6,,,,48%,,,0,12,11,2,35/68 (51%),0,,,0,485,,,6,3,4,3,,,0,34,2,9,,2
England,Premier League,15/16,1,6767934,Stoke City,29,Liverpool,44,2,3,1439132400,Ended,0,0,0,0,0,1,1,0,1,1,6767934,378,21/37 (57%),53%,,,,4,,5,,,,48%,,,0,9,5,1,37/83 (45%),0,,,2,478,,,4,1,3,4,,,,22,1,8,,4,301,16/37 (43%),47%,,,,2,,3,,,,52%,,,0,16,4,2,46/83 (55%),0,,,3,412,,,4,4,1,3,,,,25,2,7,,2
England,Premier League,15/16,1,6767937,West Bromwich Albion,8,Manchester City,17,1,3,1439233200,Ended,0,0,0,0,0,3,3,2,1,3,6767937,693,12/18 (67%),70%,,,,11,,6,,,,51%,,,0,12,10,2,28/61 (46%),0,,,0,764,,,11,2,7,9,,,2,12,2,20,,1,267,6/18 (33%),30%,,,,1,,6,,,,49%,,,0,9,2,4,33/61 (54%),0,,,2,328,,,4,6,2,5,,,0,16,4,9,,4
